FILM	DATE	DIRECTOR	ATROCITY, GENOCIDE	DATA STATE	LANGUAGE	DURATION	PRODUCER	COUNTRY	ACQUIRED	LINKS	COMMENTS	PERP REPR	PERP GROUPS	PERP GENDER	VIOLENCE RATIONALE/CAUSES	COLLABORATOR GROUPS	VICTIM REPR	VICTIM GROUPS	VICTIM GENDER INTERVIEWS	SEXUAL VIOLENCE	DOC TYPE	RATINGS	AWARD
The Forgotten Genocide / The Armenian Case	1975	J. Michael Hagopian	Armenia	1	en	43	Atlantis Productions	US	DVD	https://www.youtube.com/watch?v=tCPRxhEMDI8	[documentary "The Armenian Case" contains the documentary "The Forgotten Genocide" which was distributed independently, the differences are marked below in square brackets; interviewees are anonymous unless indicated otherwise, all interviews are in English unless indicated otherwise; newspaper clippings from the time shown throughout] opens with choir singing with title displayed alternating with stills from genocide; then intertitle "Who talks nowadays of the extermination of the Armenians" - Adolf Hitler, November 23, 1939; then male v-o narrator says "in 1915 Turkey attempted to destroy the Armenian people. The goal was to wipe out the entire ethnic group by a plan that included massacre, deportation, and starvation"; then map and v-o says that "in city after city" Armenians were killed and deported with death toll given at over 1.5 million people and mentions that it is "first genocide in modern times", then v-o narrator who is Mike Connors, but original name Krekor Ohanian, says "my parents were among them"; then interview with male Rev. Vartan Hartunian, first Armenian Church in Belmont, Mass, talks about Turkish plans to kill Armenians; then male Huston Carlyle Jr. attorney in LA, who says that though his parents and he himself were not personally involved he still has strong feelings against Turks but also Americans who didn't do anything to stop it; male elderly interviewed Dickran Boyajian, attorney, Boston, Mass. who who says that 2 mio Armenians were in Turkey but less than 150,000 Armenians remained in 1917; then footage of historical Armenian heartland with v-o introeing it as such, but now Turks "till the soil" of the land with present-day footage; then footage of Ararat; then briefly unnamed male survivor from Kharpert interviewed who says that Ararat is special for Armenians and he hopes they will occupy the land again; then Prof. James Gidney from Kent University interviewed who says he has no doubt that Armenians have "moral" claim to land; then map of "Historical Armenia" shown with territory marked on the map; then v-o talks about Armenian history starting 3000 years ago with Armenians forming a distinct identity, Armenia bridging east and west, creation of their own alphabet, adopting Christianity in 400 CE as the first people to do so with golden era for 200 years after that, increasing their empire until the 10th century (with footage of Armenian books, paintings, architecture); then "from their Asian heartlands" Turkish armies moved west conquering everything in their path; then 5 centuries under Turkish rule "darkest in Armenian history" with footage from Constantinople in 19th century; then Abdulhamid II afraid of breakup of OE by European powers and by late 19th century many peoples independent of OE, but not Armenia, and a Turkey reduced in size wanted to unite all Turks and Armenians "blocked Turkish expansionist dreams eastward. Turkish leaders then decided on a policy of extermination, of genocide, using as a pretext the religious and economic differences between Turks and Armenians"; then interview with male William Nute, M.D., Missionary in Turkey 1909-1964, talks about differences in wealth and education between Armenians and Turks with Armenians faring better with archival footage of Turks and Armenians [?]; then Kharpert where v-o's grandparents died and Van where Armenians were killed with archival film of Armenian religious communities; then WWI with OE alongside Germany; then interview with Henry Morgenthau III, in Cambridge, Mass. who talks about his grandfather identifying Talaat as main culprit; then v-o talks about triumvirate of Enver, Jemal, and Talaat all responsible for genocide and then footage of telegrams sent with orders purported to be to kill all Armenians, beginning with disarming of Armenian soldiers and their forced labor, and with killing starting April 24; then elderly male William Nute, M.D., Missionary in Turkey, 1909-1964, says that German missionaries told him that it was govt. that ordered Armenians deported and killed; then male survivor from Pertag talks about killings; female survivor [who is Aurora Mardiganian] who is captioned as survivor from Chemishgazek talks about Turks taking women and girls to rape at night (all interviews alternate with photos by Wegner); Nute again who talks about seeing women and children dying of thirst and he could do nothing; then interview with male Armin T. Wegner who is captioned as German Red Cross officer with Turkish Army who talks about children dying of starvation and dehydration on the roads, and then about being able to access camps and taking photographs, then describes some photos, one of Armenian priests preparing graves; more photos and v-o says that the genocide took place in the Armenians' "historic home" and "large portions of the Turkish people participated" and mentions continued Turkish denial and says that world powers looked on at the time; male survivor from Kharpert talks about being shown corpses and about being orphaned and forced to adopt Islam and forget Armenian language, male survivor from Aintab briefly talks about witnessing massacres perpetrated by soldiers, both survivors are interviewed with Engl. synchronisation; photo of Turkish [?] soldiers in front of piled up male heads of Armenians; then interview with Willian Nute, M.D., missionary in Turkey, 1909-1964, says "for three days the massacre was carried on then word came that it was to stop and the Armenians were told that if they would disarm and hand in all their arms everything would be quiet" and so they did, but then the massacre continued; interview with Henry W. Morgenthau III in Cambridge, Mas., talks about someone [his father?] meeting Talaat and saying that a particular Armenian man was not an enemy and Talaat is said to have replied "no Armenian can be a friend to the Turks after what we have done to them" (archival photo of uniformed riflemen posing over stacked cut-off heads); then interview with male “defender” of Musa Dagh about witnessing torture and rape of people and so they went to Musa Dagh to defend themselves, with archival photos, then two other male defenders of Musa Dagh interviewed talk about fighting and forcing "Turks to retreat"; then v-o mentions Franz Werfel's novel The Forty Days of Musa Dagh over footage and photos with audio of gunshots and mentions they were rescued by French warships; then interview with female survivor from Ourfa talks about female fighters at Musa Dagh, with archival photos; v-o says however that "the swiftness of the Turkish onslaught destroyed most of the Armenian people before they could defend themselves"; interview with Richard Hvannisian, Professor at UCLA, talks about Armenians being killed on their historic territories they inhabited for 3000 years; then interview with female Armenian student from University of Southern California, 3 generations removed from survivors, says her strongest feelings are not "sorrow and pity" but rather "anger and frustration"; then two male Harvard university students interviewed debating connections between Armenian genocide and Holocaust, mentions AH saying who after all remembers the Armenians and emphasizes that there is "an obligation to make the world remember" for "humanity's sake" not just for Armenians, suggesting the cycle of violence would continue otherwise; interview with congressman Thomas P. O'Neill, house majority leader, democrat, from Mass., says "no genocide can be condoned by the US"; then interview with Avedis Snjian, professor at UCLA, talks about Turkish "deliberate policy to distort the fact"; interview with congressman Edward J. Derwinski, Republican, Illinois, says that non-prosecution of genocide meant that subsequent atrocities could happen; back to Snijian who says effectively the same and emphasizes role of "civilized world" to react "vigorously" and believes "it is entirely conceivable" if they had done so against Turkey, the "policy of exterminating the Jews in Europe may not have happened"; footage of Armenian parade in 1917; [the following is not part of "Forgotten Genocide" any more] then v-o mentions that Armenians fought in WWI in the hopes that their wishes for their land would be fulfilled; survivors of Turkish genocide fled to Russian frontier with stills from Erevan, Russian Armenia, 1918; then Turkish army moved against remaining Armenians in May 1918 with footage of Turkish army, but Armenians repelled them at Sardarabad with footage of victorious soldiers parading through Erevan in 1918, then Armenian republic proclaimed, then Armenians at treaties negotiations with allies in 1919 and v-o gives quotes by Clemenceau and Lenin about Armenians deserving their state; then Americans exploring Armenia becoming a protecturate of US with footage of Armenian cavalry escorting US general Harbord through the republic of Armenia with v-o giving report that assured Armenians; finally in 1920 Wilson not getting request by US Congress accepted to become protector of Armenia; then treaty of Sèvres which "provides the legal basis of territorial claims by the Armenians against Turkey"; then resurgent Turkish nationalism under Kemal with Turkish armies occupying "traditional Armenian lands"; then Soviet Armenia shown on map as sole remainder; then Armenian archives in North America; v-o talks about Armenian exiles; then footage of Armenians in Syian desert; v-o talks about Armenian diaspora rebuilding their identity; then male Prof. Howard Sachar, George Washington Uni who talks about Armenian creativity which "will absorb this tragedy" productively for a time when they may regain the territory; then Congressman Edward Derwinsky, Illinois republican, who says that Armenian case essential for US foreign policy and legitimacy of Armenian case; footage of military training "Middle East" in 1940s; then v-o talks about Ararat seen from Erevan in Armenia, and then Armenian traditional ceremonies performed in USSR, of a painter drawing with chalk and v-o says that Armenians are "free of Turkish oppression" and can now pursue artistic expression and science; v-o says that Armenian population has grown by over 6 million; then Sachar says one can never predict changes and possible ideological changes in the region and Armenians should keep undergoing "ideological training" to possibly seize the moment; v-o talks about Kharpert as the cultural center of Armenians; Van was also destroyed with present-day footage of only two remaining Turkish minarets among rubble; v-o claims that "genocide continues" with Armenian historical monuments erased, including Ani which is given as among the 3 most important sites; then back to the male Harvard students talking about necessary political activism and hinting at terrorism getting more media attention; then interviews with random Armenians at a demonstration talking about Armenian identity and importance of recognizing the Armenian genocide and getting some form of reparations like the Jews and saying that Holocaust may never have happened had Armenian genocide been recognized, v-o saying that crimes against humanity not having a statute of limitations; v-o says that the Armenian case will succeed only with the determination of the Armenians [ending of "Armenian Case"] [the following ending in "Forgotten Genocide"] then v-o talks about Armenian monuments in different countries commemorating the genocide with April 24 the commemoration day, v-o saying that crimes against humanity have no statute of limitations and Turkey "must consider the Armenian claims, moral, legal, and territorial", with footage of anniversary in Montebello, California; v-o concludes that "the Armenians are determined to pursue their case against Turkey until the civilized world recognizes that inhumanity and injustice unchecked are a threat to all people"	archival	Turkish population, Talaat, Enver, Jemal, 	M	ethno-nationalism, breakup of empire		direct	Armenians	F, M	TRUE	H		
Arménie 1900 	1981	Jacques Kebadian	Armenia	0	fr	14		France															
The Armenian Genocide, 1894-95 and 1915-19	1982	Thomas A. Ohanian	Armenia	0	en			US			[television documentary; only record found in Le Cinéma Arménien, p. 110]												
Sans retour possible 	1983	Jacques Kebadian, Serge Avédikian	Armenia	0	fr	117		France		https://www.cinematheque.fr/henri/film/107949-sans-retour-possible-jacques-kebadian-serge-avedikian-1983/		archival							F, M				
Strangers in a Promised Land	1984	J. Michael Hagopian	Armenia	0	en	60		US															
Missing One	1984	Razmik Grigorian	Armenia	0	en	23		UK			[the story of an English soldier who witnessed the Genocide]												Armenian Film Foundation prize
"Die armenische Frage existiert nicht mehr" – Tragödie eines Volkes	1986	Ralph Giordano	Armenia	1	de	45	WDR	Germany	FILE	https://www.youtube.com/watch?v=ojEV6j_6XnE&ab_channel=LaibachsDoku-Kanal	opens with Giordano (with archival Armin Wegner photos in background) addressing the audience and saying that this documentary cannot serve to fan more hatred against Turks in Germany since contemporary Turks in Germany have no causal relation to the Armenian genocide, and that this documentary does not embrace the German tendencies to compare to the German crimes ("gegen die deutschen Verbrechen aufzurechnen") and to use them to assuage guilt and stresses that this documentary does not serve to "entlasten" Germany's own crimes, mentions the contemporary situation with Turkey as strategic partner in NATO and mentions German alliance to Turkey during the genocide; then footage from 1983 with attack on Turkish embassy in Lisbon, then attack on Turks in Paris airport Orly 1983, then enumerates attacks in Ankara, Brussels, LA, and others by Armenian attackers who justify their acts by the fact that Turkish state denies genocide and return of the descendants back to Anatolia; v-o says Turkish story (with footage of Turkish military at memorial) denies genocide and reduces victim count to 300 000 and claims other victims and says that Armenians were responsible for their own fate; the title card "Die Vorgeschichte: Nationalismus und Imperialismus"; drawing of Ararat at whose foot Armenians settled exposed to ever-new conquerers, characterizes the Armenians as having their own language and writing system and since 400 CE their own Christianity; says about 2 million Armenians at end of 19th century with good traditional relations to OE and main settlements in Anatolia, Cilicia, and Constantinople, but clashes between Kurds and Armenians in the East; then nationalism increases among Armenians causing tensions; then France, Britain, and Germany fearing Russian expansion southward and support OE against Russia and especially consider themselves responsible for Armenian Christians which OE considers meddling in domestic affairs; then 1883 German general von der Goltz reforms the turkish army and increasing economic collaboration esp. with the Bagdad railway; then regular Turkish troops and irregular Hamidian regiments massacre Armenians esp. in Van and Bitlis, forced Izlamization and sexual slavery, Young Turk opposition to Sultanate in Paris states that these massacres were officially organized ("offiziell gelenkt"), but v-o notes that the Young Turks would complete what was started then; footage of meeting between William II and Enver Pasha who is considered central figure of Young Turks, but also Talaat and Jemal whose CUP steered Young Turks towards nationalism and excludes non-Turkish minorities; Armenians initially happy about this constitutional change and collaborate with Young Turks, but massacres esp. in Adana in 1909, while Young Turks suppress a conservative coup, and political turmoil dominates the news in Europe; then Balkan wars lead to territorial losses of OE with restless ("unruhige") minorities of Kurs, Greeks, and Armenians; then WWI OE against Russia, England, and France; OE asks OE Armenians to create uprisings in Russia, but Armenians refuse, and Russian Armenians in turn participate in the OE defeats under Enver's command in the Caucasus while France and Britain attack Constantinople (with archival footage); v-o points to lack of clarity in the situation due to closed Osmanian archives; then February 1915 Armenian soldiers expelled from army, forced into labour batallions, and then shot (with photos of massacred dead) which is the beginning of the "Katastrophe"; title card "Die Deportation"; fights between Armenians and Turks in Constantinople in April 1915 with Talaat Pasha with deportation order on 27 May 1915 with reason to avert treason; then Wegner photos of Armenian deportations with Wegner named taking photos despite official prohibition; then document folders shown ("Akte Türkei 183") in the political archive of the foreign ministry in Bonn; then German diplomatic correspondance shown, one statement to Bethmann Hollweg saying that deportations cannot be justified by security concerns and that the war was used as a pretext against internal / domestic enemies with more photos of dead shown and more reports of the lethal deportations, increasing progression of deportations initally limited to East, esp. Adana and Zeytun, and expansion to other areas away from the frontlines and German correspondance (mostly by Scheubner-Richter and Wangenheim) says that this shows clearly intent to destroy the Armenian race ("Armenische Rasse [...] zu vernichten"); married couple, man named Aram and woman, who both survived genocide interviewed in their home in Paris with last name Gureghian [later name is captioned] recall deportations in 1915 speaking in Armenian with German synchro, man recalls that his father was taken and heard he was killed, describes suffering of esp. children during deportations and mentions rapes of girls and says half of their group died during deportations; diplomatic correspondance about Diarbekir in 1915 where official Kaymakam refused to hurt Armenians without written order and was then deposed and later murdered; other correspondance talks about systematicity of murders; then Aram Gureghian talks about killing of 7 months old sister, talks about Arabs and Kurds killing many next day, then talks about finding corpse of 7 year old sister; more diplomatic correspondance mentions killings by Kurds and paramilitaries ("Freischärler"), all read out audio of diplomatic correspondance is shown with the document and a magnifying glass over the read out lines, correspondance from August 1915 shows that diplomats protested with govt. officials about deportations, but these seemed not only condoned but actively supported by Turkish govt. and that deportations and killings were expanded to other Christians with most Turks supporting the killings; v-o says most Armenians were brought to Aleppo in 1915 and then to Deir ez Zor where they were killed or were killed en route; more correspondance with Talaat showing German translations of deportation documents to support his claim that they tried to reduce the excesses during the deportations, but also relates Talaat saying to diplomat Hohenlohe that "la question l'arménienne n'existe plus", further correspondance shows that the Talaat orders shown to them were apparently a fake and were not executed; eyewitness report read out with photos of dead and dying Armenians shown; Metternich correspondance states that the soul ("Seele") of anti-Armenian actions is Talaat; more interview with Aram Gureghian who talks about Kurds killing his brother and he himself surviving only because a childless Kurdish couple promised to take him in and give his family water and only he, a sister, and his mother survived from a family of 9; diplomatic correspondance talks about false news fed to German public; Karl Liebknecht introed as one of the few who expressed political outrage but silence reigns at the top ("Reichsspitze"); then deportations of Armenians in Smyrna; then protest by Liman von Sanders who says deportations interfere with military matters; some deportations in Smyrna prevented; v-o talks about German responsibility ("Mitverwantwortung"); gives Armenian death tolls as 1.5 million given by Armenians, neutral observers give 800 000 to 1 million while Turks claim only 300 000, but v-o says they do not want to partake in the "Zahlenspiel"; Talaat, Enver, and Jemal all condemned to death by Turkish court but Talaat flees to Germany but is killed in by Armenian avenger in 1921 who is ultimately released; v-o talks about telegrams ordering murders shown during trials but disappeared soon thereafter; then contemporary Turkish denial; then Turkish constitutional lawyer Mümtaz Soysal and journalist from Ankara who in Turkish with German synchro says there were only mutual massacres and says only Armenians were killed who betrayed them and says those ulimately responsible were the major powers; v-o says that Armenian historians do not deny certain Armenian resistance movements esp. on the OE-Russian front while still defending the historical case that genocide happened; v-o points out that there were no precautions for food supply and water, no provisions to protect from the elements and largely no transportations mechanisms all point to central organization; "Die Diaspora" title card; then Atatürk introed with Turkey fighting against major powers, any returning Armenians are forced to flee and their 2 year old national state promised by major powers destroyed (with archival footage) and Greek minority is forced to flee with triumphant Atatürk; contract of Lausanne in 1923 does not mention Armenians anymore; the only state territory is the Armenian Soviet republic (shown in map); then footage Christmas celebration in Armenian cathedral in Paris and v-o says that France has the biggest Armenian diaspora in Europe; v-o talks about the difficulties of Armenian diaspora struggling with assimilation but also preservation of identity; then interview in French with Anahid Ter Minassian, second diaspora generation, talking about Armenian identity and people who says it's necessary to have the old home of Armenians returned to them; v-o with map says 335 000 Armenians live in Europe, 3 million in USSR, and only about 575 000 in middle east with 50 000 in Istanbul, 600 000 in North America, esp. in the US and 170 000 in South America, esp. Argentina; 3rd generation diaspora Ara Toranian member of a fighting / terrorist organization in French with German synchro talks about Armenian efforts to get historical territories and genocide recognition and says after 60 years without results Armenian organizations take up arms; v-o says that the Armenian genocide can be considered the first genocide of 20th century; footage of Mitterand in 1984 in Armenian community calls it genocide; then European parliamentary debate in 1985 about recognition of Armenian genocide with German delegation the only among 12 nations who question that it is genocide and German govt. silent about genocide question for 70 years; then AH quote -- "Wer redet heute noch von der Vernichtung von den Armeniern" -- about Armenians in 1939 given	archival	Ottoman Turks, Hamidian regiments, criminals, paramilitary, Arabs, Kurds	M	nationalism; religious persecution; history of violence against Armenians; territorial loss (Balkans)		archival	Armenians	F, M	TRUE	H		
Ritorno a Khodorciur: Diario Armeno (Return to Khodorciur: Armenian Diary)	1986	Yervand Gianikian, Angela Ricci Lucchi	Armenia	0	Italian	80		Italy											M				
Armenian Genocide	1987	Harpik Avedian	Armenia	0	en			US			[only record found in Le Cinéma Arménien, p. 110]												
Tillbaka till Ararat (Back to Ararat)	1988	Peå Holmquist, Suzanne Khardalian, Göran Gunner, Jim Downing, Göran Gunér	Armenia	1	en	90	private	Sweden	FILE	https://www.youtube.com/watch?v=odZqE5JPyhs	opens with landscape shots of Armenia with v-o of a woman who, as we later seem to find out, speaks at a rally in NYC; then ceremony at memorial in Yerevan Soviet Armeni; then rally in Paris with speaker commemorating the 1.5 mio Armenians killed "sauvagement massacré"; then someone at Assembly of Turkish-American Associations calls genocide "the biggest lie in the whole history of humanity" but doesn't deny that there were many "tragedies" in "Turkey at that time"; then Armenian poem with phrase "to see a flag on top of Mount Ararat" in a seeming language learning lesson, woman nearby mentions being frustrated not being able to go to see Ararat, the poem translator says she can go, but he can't with a Lebanese passport [later identified as Rafi and his fiancée as Ani]; v-o then says "we went when neither Rafi in New York nor any other Armenian can go, to Ararat in Eastern Anatolia, today a part of modern Turkey" with footage of mountains and then audio of Rafi and woman continuing conversation saying that it's dangerous to go; then footage of present-day Diyarbekir, then 2000 years ago Armenian king founded his capital here, but nothing of this "past glory" left, excepting Old Armenian quarter with footage of Armenian mass with only 40 Armenian families live there; lake Van area south of Ararat described as Armenian heartland; v-o describes Armenians as first nation to adopt Christian faith, with own language and alphabet; then history of invasions by various other empires, with list of Persians, Seljuks etc., but Armenians were able to "stubbornly cling to their land around Mt Ararat" until early 20th c. by which time "Armenia was ruled by a crumbling Turkish-Ottoman Empire"; then nationalism and "several peoples threw off the yoke of Turkish rule" even Armenians stirred by "longing for freedom", "but the Turkish rulers had plans for a new vast Empire: the Unification of all Turkish peoples from the Mediterranean Sea to India", and "the creation of a free, Christian Armenia would split the pan-Turkish Empire in two"; then several survivors interviewed, one reads from the bible, then says her family survived because her father-in-law made lamp oil and no one else in area could, so they left them alone, another mentions killings by knives and being thrown into well, but fears the police overhearing their conversation; then v-o narrator says beginning of end for Armenians in April 1915 in Van with Russian army close and war going badly for "the Turks" "the Armenians were blamed" and Armenian units in military disarmed and Armenian villages razed, no mention of Armenians joining Russian army however, then revolt by Armenians in Van driving out Turks, this then became an "excuse" for Turks to execute 650 Armenian intellectuals and "then came final orders" for deportation of Armenians starting "first genocide of the 20th century"; back to survivor who fears giving testimony but says that "Istanbul" thought Armenians were up to something and had Armenians deported, then "Dashnaks and Hentchaks tried to do something and were killed"; then v-o describes death march for 2 mio of Armenians, few survivors dispersed throughout the world; then Lyon, France with Armenians there, then Armenian cultural centre there with Garabed Hovaginian [sic?] survivor talks about deportations with men and boys going first, with police ordering all Armenians to gather, then the death marches with soldiers preventing Arab women from giving or selling water, then "Turks, Tchetchengs [sic] began to round up the youngsters", cries and breaks down several times when talking about his brother being taken by Kurds and gendarmes, then hearing shots which killed the rounded up people, he himself was hid under mother's dress; female survivor in today's Turkey says "The heartless Turk left orphaned children in his path" and says "enough of evil" wants to leave the past in the past; then v-o mentions large Kurdish population in Anatolia which is in constant state of emergency; Rafi and Ani and Rafi's family speak about going to Turkish side of Armenia; Ani talks about struggle to stay Armenian in NYC/US and feels compared to their struggle other ppl's concerns seem "so trivial"; then Armenian gathering singing song about raising flag on Ararat; then Rafi at school instructing students that eventually Armenians want to create a "homeland" and that's why they keep their culture alive; then Rafi and Ani's wedding ceremony followed by celebrations; then Rafi's uncle interviewed who is survivor and talks about killings; then present-day footage of Armenian quarter in Aleppo with refugees from 1915, then Armenian mass with singing, archival photos of refugee camps filled with children; back to Hovaginian who talks about being refugee; then v-o mentions Armenians have highest standard of education in Syria, followed by priest talking to Armenian school children; back to Hovaginian who from Aleppo went to Marseille, then married, had two children and worked in silk factory and now retired; Rafi's uncle never told his children; but Hovaginian told his children everything; Ani talks about the need for having Armenia back and disagrees with those who are happy to be where they are, discussions between Rafi's family members about getting "our" land back, speaking about various ways (including killing) to get back their lands, Rafi sees Palestinian struggle as model; then news report of Turkish ambassador killed in Belgrade by Armenian liberation organisation, then interview with perpetrator of assassination who after shooting ambassador was himself shot in the back [and paralized as we find out later]; interview with Catholicos Karekin II of Cilicia (first to be introed with captions) talks about how Armenians have found a new home in Lebanon; v-o mentions Lebanese civil war and Armenians remaining neutral; back to assassination-perpetrator who talks about being arrested by Yugoslav authorities, defending himself with referral to Armenian cause, and imprisoned for 20 years, but released after 4, took up sculpture to busy himself, says he was prepared "even for death" and he's prepared to "sacrifice everything"; then shot of Ararat present day; then arming of Armenian militia in Lebanon for self-defense; assassin says they are attacking Turkish politicians who were "naturally" not "directly involved in the Genocide [capitalised]" but they are "successors"; then Turkish assembly 1987 with Turkish presenter saying that when Russians retreated Armenians went with them and when Russians came back so did Armenians and that all sides were killing each other, more attendees and presenters interviewed who deny genocide; then interview with woman who sings song about Chechens sharpening their weapons and Armenians starving in Deir Zor desert; v-o gives death toll at 1.5 mio Armenians; then footage of caves of Deir Zor where Armenians were put and burned to death with locals talking about killings then priest gives ceremony; photo of French expedition finding Armenians in the caves; then v-o says some children managed to escape and live among LA's 300 000 Armenians interview with Armenian business man A. G. Tutor who describes how his brother was shot by "gendarmes", then they arrive at Deir Zor and one of the Chechens who were doing the killings adopted him, and reports that boys were sent on river and boat sunk and all those who swam to shore rocks were thrown at and he himself was also forced to throw rocks; then interview with another survivor talks about raping and torturing of women, then burnings of people in caves; then back to Turkish assembly another interviewee talks about deportations and says "there were a lot of casualties", but no genocide, and claims that Armenians as a small minority they need a cause to rally behind and get sympathy of others, "I think, if there is one victim in this particular story it's the victim of Turks"; then Zorian institute Boston where they have 350 survivor testimonies and 2500 audio taped interviews with survivors mostly US, the historian interviewed there says that these testimonies clearly indicate genocide and cannot be "coincidental" because of too much scale; then EU Parliament with Turkey applying for membership; then Turkish press conference saying to call it genocide is "legally" and "historically" "wrong"; then EU Parliament passing resolution recognising genocide and asking Turkey to recognise it; a voice says that EU recognition is only one "battle in a long war which eventually will lead back to Ararat"; then Soviet Republic of Armenia with 3 mio Armenians living on 1/6 of the original land; then grave site of Mesrob Mashdots and says this grave is the most "sacred shrine" of Armenians, v-o explains he invented Armenian alphabet; then Armenian church and highest church authority with v-o saying "here ancient traditions are still very much alive", then slaughtering of animals with their blood used to form cross on childrens' heads; father and son discuss about the past, with son believing Armenians too focused on past; then international Leninist workers parade with v-o saying that Armenians managed "miraculously" to establish its own independent state, but in 1921 chose incorporation in USSR when threatened with Turkish invasion, Armenian nationalism consequently suppressed for decades; then poem read about democratisation and independence read by father to son; then 1988 Armenian nationalism reviving and demanding that Karabakh (Azerbaijan) be incorporated into Armenia, with v-o explaining this led to war with Azerbaijan in which "once again Armenians were killed"; then another poem; then Rafi in audio with landscape shots	none	Turkish police, Turkish military, Chechens, Kurds	M	Turkish nationalism, Armenian conspiracy		direct	Armenians	F, M	TRUE	H		
